Control,Input,SWNOutput,SWNDrain,SWPOutput,SWPDrain
0,0,0.0,0.0,0.0,0.0
0,1,0.16654000000000002,0.08552,0.064,0.08552
0,2,0.33308000000000004,0.17104,0.128,0.17104
0,3,0.49962000000000006,0.25656,0.19200000000000003,0.25656
0,4,0.6661600000000001,0.34208,0.256,0.34208
0,5,0.8327,0.4276,0.32,0.4276
0,6,0.9992400000000001,0.5131399999999999,0.38398,0.5131399999999999
0,7,1.1657800000000003,0.59868,0.44796,0.59868
0,8,1.3323200000000002,0.68422,0.5119400000000001,0.68422
0,9,1.49886,0.76976,0.57592,0.76976
0,10,1.6654,0.8553,0.6399,0.8553
0,11,1.8494200000000003,0.9310999999999999,0.9988400000000001,0.9310999999999999
0,12,2.03344,1.0069000000000001,1.35778,1.0069000000000001
0,13,2.2174600000000004,1.0827,1.7167200000000002,1.0827
0,14,2.4014800000000003,1.1585,2.07566,1.1585
0,15,2.5855,1.2343,2.4346,1.2343
0,16,2.76952,1.3101,2.7935600000000003,1.3101
0,17,2.9535400000000003,1.3859000000000001,3.1525200000000004,1.3859000000000001
0,18,3.1375600000000006,1.4617,3.5114800000000006,1.4617
0,19,3.32158,1.5375,3.8704400000000003,1.5375
0,20,3.5056,1.6133,4.2294,1.6133
0,21,3.70716,1.68018,5.060040000000001,1.68018
0,22,3.9087200000000006,1.74706,5.890680000000001,1.74706
0,23,4.11028,1.81394,6.721320000000001,1.81394
0,24,4.31184,1.88082,7.55196,1.88082
0,25,4.5134,1.9477,8.3826,1.9477
0,26,4.7149600000000005,2.01458,9.21324,2.01458
0,27,4.91652,2.0814600000000003,10.043880000000001,2.0814600000000003
0,28,5.118080000000001,2.14834,10.87452,2.14834
0,29,5.319640000000001,2.21522,11.705160000000001,2.21522
0,30,5.5212,2.2821,12.5358,2.2821
0,31,5.74028,2.34088,13.857380000000001,2.34088
0,32,5.95936,2.39966,15.17896,2.39966
0,33,6.178440000000001,2.4584400000000004,16.50054,2.4584400000000004
0,34,6.39752,2.51722,17.822119999999998,2.51722
0,35,6.6166,2.576,19.1437,2.576
0,36,6.83568,2.6348000000000003,20.46528,2.6348000000000003
0,37,7.054760000000001,2.6936000000000004,21.786860000000004,2.6936000000000004
0,38,7.27384,2.7524000000000006,23.10844,2.7524000000000006
